account_id,account_name,balance
27293,Isabella Martinez,183716.11
46477,Richard Nelson,78747.73
66607,James Walker,93706.65
33391,Melissa Nelson,79319.14
11553,Betty Hill,131865.22
13119,Emily Torres,4870.82
70728,Kimberly Reyes,180651.56
19563,Mark Rodriguez,90290.3
10144,William Moore,230479.58
37403,Patricia Lopez,159347.98
47712,Paul Clark,124738.56
86767,Barbara Rodriguez,132546.52
93552,Charles Garcia,41650.52
16818,Anthony Perez,199894.48
23907,Betty Gutierrez,21658.64
81365,Carol Anderson,233900.12
32258,Donald Perez,211357.88
96313,Lisa Sanchez,187717.81
67718,Robert Castillo,6534.71
63328,Maria Martinez,140370.28
40774,James Lewis,13869.32
92764,Anthony Smith,35310.32
34179,Michelle Jackson,86009.47
72270,Charles Garcia,68143.45
10462,Mary Morales,75580.96
48661,Daniel Moore,238458.56
27368,Mark Adams,207109.93
69872,Brian Anderson,82768.51
66590,Sofia Martin,172667.81
52865,James Campbell,150814.56
12147,Barbara Davis,177793.3
34501,Bryan Rodriguez,55592.06
83353,Sandra Gutierrez,187112.07
84198,Kevin Nguyen,9691.75
53180,Deborah Williams,124541.77
92408,Melissa Reyes,180118.74
85369,Michael Thompson,199208.59
37860,Thomas Smith,63031.39
40497,Miguel Green,46242.44
25662,Javier Miller,142445.7
19971,Miguel Castillo,141124.47
40729,James Sanchez,94875.38
26477,Edward Williams,210786.57
19552,Javier Baker,16543.73
29660,Karen Wilson,127353.79
43833,Patricia Baker,237985.34
54366,Karen Wilson,220364.35
38265,Javier Martinez,58220.81
36168,Thomas Perez,61421.87
54155,Sofia Rivera,90154.95
52201,Bryan Castillo,42124.52
63523,Brian Garcia,110898.47
76538,Camila Scott,62057.62
51393,Linda Allen,46381.73
29197,Kenneth Perez,139854.14
52126,Michael Gutierrez,151339.73
26943,Paul King,244048.45
46225,Donald Campbell,95275.17
26843,Matthew Hall,163852.41
96589,Edward Harris,249795.08
82702,Gabriela Clark,171033.92
45087,Nancy Robinson,249325.18
53124,Elizabeth Ortiz,47953.86
12615,Joshua Mitchell,21917.75
18448,Susan Nguyen,206410.31
66599,Mary Wilson,196090.93
57580,Robert Jones,4316.57
60356,Sarah Jackson,129771.58
50585,Stephanie Baker,225700.14
84812,Robert Jackson,161817.15
52647,Joseph Moore,132593.69
42349,Matthew Moore,120672.02
89745,Barbara Castillo,189762.8
60362,Valentina White,168914.42
21656,Edward King,25323.25
42427,Sandra Morales,236332.52
39273,Nancy Ramirez,212483.22
66724,Valentina Baker,228904.61
82549,Kevin Allen,10896.57
80379,Gabriela Young,151696.73
23729,Donald Nelson,116749.2
88363,Sarah Allen,115129.4
91823,Lisa Green,191989.39
85850,Carlos Gonzalez,126000.33
39260,John Scott,171624.6
76905,Mary Thompson,209103.47
14699,Amanda Hall,11831.54
41489,Diego Wilson,145342.81
66988,Matthew Scott,172200.4
49036,Jessica Roberts,202386.88
44031,Diego Sanchez,116216.8
11179,Donald Wilson,85360.0
22843,Miguel Reyes,31208.86
14491,Kenneth Ramirez,169981.49
95647,William Rivera,92573.65
80690,Nancy Perez,37311.86
42021,Mark Flores,33521.72
74917,Kevin Thompson,44024.41
72006,Paul Young,172138.64
77707,William Cruz,227026.46
22045,Javier Carter,138781.67
14594,Susan Castillo,141489.54
63823,Paul Adams,4490.95
67584,Javier Ramirez,128912.79
78663,Valentina Nguyen,25238.71
58812,Donna Torres,22294.56
82450,Maria Clark,225611.73
49779,Andrew Perez,28553.71
31828,Gabriela Cruz,182322.33
89149,Barbara Young,221831.19
89740,William Perez,61675.2
66744,Emily Perez,70272.97
96336,Jessica Allen,149248.82
54330,Melissa Perez,30672.86
65375,Carol Ramirez,127352.97
62324,Brian Nelson,151691.6
63477,Kevin Roberts,4522.08
84760,Lisa Johnson,11690.13
84909,Anthony Reyes,77477.5
83456,Daniel Garcia,18509.04
82230,Amanda Martin,127078.59
18286,Emily Torres,219602.43
97591,Melissa Brown,137795.71
10581,Camila Green,182542.08
26898,George Scott,93566.55
19133,Carol Martinez,196245.19
91798,Deborah Miller,32510.43
36931,Steven Mitchell,71106.96
12160,Brian Mitchell,49659.52
62739,Stephanie Torres,194428.79
76617,Luis Gutierrez,2758.7
75134,Barbara Carter,47458.14
16416,Mark Gonzalez,100432.43
15747,Matthew Flores,111999.0
18350,Matthew Hernandez,170145.67
84371,Paul Brown,52774.04
22041,Jennifer Robinson,183741.78
56332,David Rivera,36630.46
52782,Maria Nguyen,241620.59
75026,Paul Rivera,223683.71
66669,Joseph Ramirez,112442.95
64660,Gabriela Morales,152446.83
83786,William Campbell,242659.87
29303,Mark Young,77660.9
25849,Bryan Nelson,178598.54
43395,Lisa Miller,161235.16
63513,Christopher Wright,120925.32
48968,Michelle Green,74446.53
82963,Michael Morales,126857.29
92060,Bryan Ortiz,14129.04
75701,Susan Martin,165063.48
24369,Mary Martin,165833.14
93929,Nancy Brown,186704.99
53711,Kenneth Harris,186475.39
97735,Elizabeth Baker,17567.59
38569,Mary Campbell,209933.0
48608,Isabella Harris,112175.06
67841,John Wilson,47255.92
52668,Margaret Thomas,214133.23
55914,Christopher Ortiz,175661.19
31673,Melissa Lewis,161371.34
34491,Anthony Wilson,73263.2
37875,Gabriela Lewis,87810.21
83557,Deborah Baker,174052.11
74267,Isabella Hall,85627.59
26746,Deborah Mitchell,200421.0
18980,Charles Garcia,154466.16
39299,Kimberly Jones,234844.81
46745,Andrew Lewis,113457.39
61626,Steven Campbell,92038.85
56168,Charles Gonzalez,131249.27
16354,Camila Walker,14350.06
50847,Isabella Nelson,58811.6
45037,Michael Williams,25428.68
34278,Miguel Gonzalez,114029.22
19748,Emily Lewis,153339.18
84493,Lisa King,40794.68
36130,Sofia Thomas,231440.6
53764,Maria Smith,215627.16
74602,Jennifer Sanchez,233958.17
54473,Matthew Davis,69508.24
32637,Brian Hall,203353.35
71908,Robert Miller,31343.16
42688,Linda Walker,100805.57
65779,Sofia Gutierrez,178078.06
13983,Lisa Adams,116040.92
65650,Javier Gonzalez,8928.23
28247,Isabella Jackson,77534.84
30562,Maria Castillo,214942.86
81194,Betty Sanchez,55033.23
32282,Matthew Reyes,93994.72
49136,Miguel Wright,30225.04
49747,Bryan Gonzalez,50844.73
14138,Bryan Lopez,46993.64
40005,Ashley Jackson,153317.14
81221,Elizabeth Hill,231347.3
51804,Carol Castillo,105888.36
41105,Brian Rivera,193881.1
24821,Charles Taylor,104325.18
90824,Betty Anderson,146313.6
75537,Nancy Jones,126301.89
11909,Karen Cruz,166365.34
93599,William Hill,117172.03
84763,Valentina Lee,217392.84
29585,Miguel Rivera,60036.96
31862,Joseph Ortiz,144088.01
83422,Barbara Scott,57806.5
53169,George Rodriguez,158217.51
72754,Donald Garcia,188461.48
72768,Edward Rivera,149067.99
55300,Matthew Williams,164087.54
81554,Kenneth Young,242155.43
19303,Andrew Wilson,92316.86
14786,Kevin Baker,11940.21
47624,Matthew Thompson,195169.83
12049,Kevin Perez,218479.64
79307,Ashley Adams,163491.44
68681,Melissa Adams,190275.59
59954,Donna Gonzalez,198769.95
83806,James Cruz,221042.21
38108,George Johnson,184888.59
74426,Robert Lewis,62859.43
99229,Isabella Gonzalez,58807.17
24965,Jennifer Roberts,76704.48
83926,Deborah Smith,198432.67
22021,Kevin Gutierrez,156267.75
85450,Andrew Lee,229847.67
50390,Stephanie Brown,72611.21
19204,Anthony Harris,21798.94
34279,Kenneth Roberts,53813.14
28990,Richard King,230822.0
60893,Sandra Gonzalez,144124.53
61130,Sandra Thomas,41467.8
27358,Sandra Wilson,65908.86
30876,Thomas Johnson,72143.59
14990,Brian Gutierrez,165084.18
88152,Kimberly Wilson,127216.72
67323,Amanda Nelson,18592.72
41895,Brian Nelson,135711.05
72420,Steven Garcia,172016.73
40020,Jessica Mitchell,151649.06
72714,Linda Rivera,65305.92
40748,Joseph Williams,188249.55
85816,Emily Miller,41297.54
93078,Matthew Williams,200256.15
14812,Linda Allen,38200.48
82851,John Scott,87769.94
71727,Charles Hill,104700.25
24263,Daniel Adams,150050.02
41047,Lisa Johnson,209797.73
62580,Anthony Rodriguez,104950.41
54580,Mary Ramirez,204751.14
93809,Elizabeth Castillo,17825.38
29645,Anthony Reyes,107993.93
58562,Sarah Castillo,7050.79
67154,Sarah Robinson,121139.82
23917,Sofia Lee,56950.74
22751,Brian Williams,166791.88
22986,Kenneth Jones,210689.94
36666,Kevin Moore,193298.17
67454,Daniel Robinson,99985.36
12179,Kimberly Taylor,40925.04
53293,Brian Johnson,5713.31
79788,Charles Martin,67762.61
79603,Nancy Sanchez,182520.82
40210,Diego Jones,24348.65
77362,Stephanie Ortiz,229647.15
50311,Maria Nguyen,30186.69
44081,Sandra Wright,68744.46
74326,Elizabeth Roberts,222757.52
36103,Camila Lewis,54566.61
79098,Carlos Walker,164574.88
17286,Ashley Johnson,66589.32
54030,Christopher Nguyen,32300.9
32695,Kenneth Thompson,97975.42
48083,Kimberly Young,4546.77
12237,Maria Cruz,248986.87
81051,Javier Harris,27667.77
96403,Karen King,57093.59
42735,Anthony Martin,149105.95
52661,Bryan Miller,164631.37
70430,Barbara King,131703.23
68774,James Nelson,164505.64
29042,Edward Davis,114476.79
54201,Charles Martinez,181118.08
47927,Emily Anderson,6547.32
30708,Miguel Moore,149979.34
52489,Gabriela Rivera,160417.3
49656,Diego Martin,142725.83
48798,Edward Lee,236294.01
45703,Miguel Gutierrez,20940.22
34767,Linda Davis,226091.24
28979,Kevin Jones,191510.04
68311,Linda Mitchell,43990.78
20256,Karen Nelson,12682.84
13663,Ashley Jones,165156.21
71562,Bryan Castillo,134403.36
74654,Isabella Nguyen,185050.0
36663,Thomas Gonzalez,149764.41
24013,Isabella Carter,106468.67
61444,Amanda Harris,73002.72
66598,Anthony Reyes,11666.64
78563,Jennifer Brown,223638.51
23360,Kenneth Ramirez,100093.05
80934,David Sanchez,16957.44
34479,Luis Hill,155940.75
82014,Emily Lewis,67922.38
79580,Ashley Flores,12919.86
64119,Andrew Walker,99353.26
82797,Amanda Baker,248918.83
55331,Maria Johnson,171095.88
88784,Gabriela Adams,110142.77
56836,Bryan Mitchell,101964.28
10187,Deborah Mitchell,113362.77
63417,Margaret Wilson,177714.7
28136,Paul Allen,57211.64
32074,Melissa Torres,111954.01
24704,Christopher Green,139304.77
46840,Miguel Young,74408.34
43543,Melissa Johnson,148721.82
33262,Stephanie Young,72018.37
42691,Elizabeth Cruz,92393.06
21516,Isabella Green,229889.73
46150,Melissa Hernandez,129971.78
48189,Linda Adams,70837.03
65430,Ashley Torres,246328.45
25640,Andrew Taylor,64384.03
85311,Sandra Nguyen,89018.78
